# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
0.02	0.00272339445577	-0.202606353188
0.04	0.00272365841941	-0.202610643171
0.06	0.0027240983062	-0.202617791514
0.08	0.00272471403406	-0.202627795688
0.1	0.00272550548759	-0.202640652141
0.12	0.00272647251818	-0.202656356303
0.14	0.00272761494405	-0.202674902596
0.16	0.00272893255035	-0.202696284433
0.18	0.00273042508911	-0.20272049423
0.2	0.00273209227936	-0.20274752341
0.22	0.00273393380711	-0.202777362409
0.24	0.00273594932543	-0.20281000069
0.26	0.00273813845445	-0.202845426749
0.28	0.00274050078144	-0.202883628122
0.3	0.00274303586084	-0.202924591405
0.32	0.00274574321431	-0.202968302255
0.34	0.00274862233081	-0.203014745413
0.36	0.00275167266663	-0.203063904707
0.38	0.00275489364545	-0.203115763075
0.4	0.00275828465844	-0.203170302574
0.42	0.0027618450643	-0.203227504397
0.44	0.00276557418937	-0.203287348891
0.46	0.00276947132765	-0.203349815571
0.48	0.00277353574096	-0.203414883136
0.5	0.00277776665896	-0.203482529492
0.52	0.00278216327928	-0.203552731766
0.54	0.00278672476762	-0.203625466327
0.56	0.00279145025782	-0.203700708803
0.58	0.00279633885201	-0.203778434106
0.6	0.00280138962068	-0.203858616444
0.62	0.00280660160282	-0.20394122935
0.64	0.00281197380605	-0.204026245699
0.66	0.00281750520672	-0.204113637729
0.68	0.00282319475004	-0.204203377065
0.7	0.00282904135025	-0.204295434738
0.72	0.00283504389074	-0.20438978121
0.74	0.00284120122418	-0.204486386396
0.76	0.00284751217271	-0.204585219685
0.78	0.00285397552807	-0.204686249964
0.8	0.00286059005176	-0.204789445642
0.82	0.00286735447523	-0.204894774669
0.84	0.00287426750006	-0.205002204566
0.86	0.0028813277981	-0.205111702441
0.88	0.0028885340117	-0.205223235017
0.9	0.00289588475387	-0.205336768654
0.92	0.00290337860851	-0.205452269368
0.94	0.00291101413057	-0.205569702863
0.96	0.00291878984632	-0.205689034546
0.98	0.00292670425352	-0.205810229551
1.0	0.00293475582164	-0.205933252766
1.02	0.00294294299215	-0.206058068852
1.04	0.00295126417868	-0.206184642266
1.06	0.00295971776731	-0.206312937283
1.08	0.00296830211679	-0.20644291802
1.1	0.00297701555885	-0.206574548453
1.12	0.00298585639837	-0.206707792444
1.14	0.00299482291376	-0.206842613758
1.16	0.00300391335714	-0.206978976086
1.18	0.00301312595467	-0.207116843065
1.2	0.00302245890686	-0.207256178297
1.22	0.00303191038881	-0.207396945371
